           1 P01375 P19438
           2 P01375 P20333
           3 P01375 P25445
           4 P01375 Q93038
           5 P01375 O00220
           6 P01375 O14763
           7 P01375 O75509
           8 P01375 Q9UNE0
           9 P01375 P08138
          10 P01375 O00300
          11 P01375 Q9Y6Q6
          12 P01375 P36941
          13 P01375 Q92956
          14 P01375 P26842
          15 P01375 P28908
          16 P01375 P25942
          17 P01375 P43489
          18 P01375 Q9HAV5
          19 P01375 Q9NS68
          20 P01374 P19438
          21 P01374 P20333
          22 P01374 P25445
          23 P01374 Q93038
          24 P01374 P08138
          25 P01374 O00300
          26 P01374 Q9Y6Q6
          27 P01374 P36941
          28 P01374 Q92956
          29 P01374 P26842
          30 P01374 P28908
          31 P01374 P25942
          32 P01374 Q9NS68
          33 P48023 P19438
          34 P48023 P20333
          35 P48023 P25445
          36 P48023 O95407
          37 P48023 Q93038
          38 P48023 O00220
          39 P48023 O14763
          40 P48023 O14798
          41 P48023 Q9UBN6
          42 P48023 O75509
          43 P48023 Q9UNE0
          44 P48023 P08138
          45 P48023 O00300
          46 P48023 Q9Y6Q6
          47 P48023 P36941
          48 P48023 Q92956
          49 P48023 P26842
          50 P48023 P28908
          51 P48023 P25942
          52 P48023 P43489
          53 P48023 Q9HAV5
          54 P48023 Q9NS68
          55 O95150 P19438
          56 O95150 P20333
          57 O95150 O95407
          58 O95150 Q93038
          59 O95150 O00220
          60 O95150 O14763
          61 O95150 O75509
          62 O95150 Q9UNE0
          63 O95150 O00300
          64 O95150 Q9Y6Q6
          65 O95150 P36941
          66 O95150 P26842
          67 O95150 P28908
          68 O95150 P25942
          69 O95150 P43489
          70 O95150 Q9HAV5
          71 P50591 P19438
          72 P50591 P20333
          73 P50591 P25445
          74 P50591 O00220
          75 P50591 O14763
          76 P50591 O14798
          77 P50591 Q9UBN6
          78 P50591 P08138
          79 P50591 O00300
          80 P50591 Q9Y6Q6
          81 P50591 P36941
          82 P50591 Q92956
          83 P50591 P26842
          84 P50591 P25942
          85 P50591 Q9HAV5
          86 P50591 Q9NS68
          87 Q92838 Q9UNE0
          88 Q92838 P08138
          89 Q92838 Q9Y6Q6
          90 Q92838 P28908
          91 Q92838 Q9HAV5
          92 O14788 P19438
          93 O14788 P20333
          94 O14788 O14763
          95 O14788 Q9UNE0
          96 O14788 P08138
          97 O14788 O00300
          98 O14788 Q9Y6Q6
          99 O14788 P36941
         100 O14788 Q92956
         101 O14788 P26842
         102 O14788 P28908
         103 O14788 P25942
         104 O14788 P43489
         105 O14788 Q9HAV5
         106 O14788 Q9NS68
         107 Q06643 P19438
         108 Q06643 P20333
         109 Q06643 Q9UNE0
         110 Q06643 P08138
         111 Q06643 Q9Y6Q6
         112 Q06643 P36941
         113 Q06643 Q92956
         114 Q06643 P26842
         115 Q06643 P28908
         116 Q06643 P25942
         117 Q06643 Q9HAV5
         118 O43508 P19438
         119 O43508 Q93038
         120 O43508 Q9NP84
         121 O43508 P25942
         122 O43557 P19438
         123 O43557 P20333
         124 O43557 P25445
         125 O43557 O95407
         126 O43557 O14763
         127 O43557 P08138
         128 O43557 Q9Y6Q6
         129 O43557 P36941
         130 O43557 Q92956
         131 O43557 P26842
         132 O43557 P28908
         133 O43557 P25942
         134 O43557 P43489
         135 O43557 O14836
         136 O43557 Q96RJ3
         137 P32970 P19438
         138 P32970 P20333
         139 P32970 P25445
         140 P32970 O14763
         141 P32970 P08138
         142 P32970 O00300
         143 P32970 Q9Y6Q6
         144 P32970 P26842
         145 P32970 P28908
         146 P32970 P25942
         147 P32971 P20333
         148 P32971 P28908
         149 P29965 P19438
         150 P29965 P20333
         151 P29965 P25445
         152 P29965 P08138
         153 P29965 Q9Y6Q6
         154 P29965 Q92956
         155 P29965 P26842
         156 P29965 P28908
         157 P29965 P25942
         158 P29965 P43489
         159 P29965 O14836
         160 P29965 Q96RJ3
         161 P41273 Q07011
         162 P23510 P19438
         163 P23510 P20333
         164 P23510 P08138
         165 P23510 Q92956
         166 P23510 P26842
         167 P23510 P28908
         168 P23510 P25942
         169 P23510 P43489
         170 P23510 Q9HAV5
         171 Q9UNG2 P26842
         172 Q9UNG2 Q9Y5U5
         173 O75888 P19438
         174 O75888 P20333
         175 O75888 P25445
         176 O75888 O00300
         177 O75888 Q9Y6Q6
         178 O75888 Q92956
         179 O75888 P26842
         180 O75888 P25942
         181 O75888 P43489
         182 O75888 Q02223
         183 O75888 O14836
         184 Q9Y275 P19438
         185 Q9Y275 P20333
         186 Q9Y275 P25445
         187 Q9Y275 P08138
         188 Q9Y275 Q92956
         189 Q9Y275 P26842
         190 Q9Y275 P25942
         191 Q9Y275 P43489
         192 Q9Y275 Q02223
         193 Q9Y275 O14836
         194 Q9Y275 Q96RJ3
